Campaign,CWSAC Reference #,Date(s),Description,Estimated Casualties,Forces Engaged,Location,Other Names,Preservation Priority,Principal Commanders,Result(s),"

On April 30, Confederate Brig. Gen. Nathan Bedford Forrests brigade caught
up with Streights expedition and attacked its rearguard at Days Gap on
Sand Mountain. The Federals repulsed this attack and continued their march
to avoid further delay and envelopment. Thus began a running series of
skirmishes and engagements at Crooked Creek (April 30), Hog Mountain (April
30), Blountsville (May 1), Black Creek/Gadsden (May 2), and Blounts Plantation (May 2). Forrest finally surrounded the exhausted Union soldiers near Rome, Georgia, where he forced their surrender on May 3.

", ,"
CWSAC Reference #","
Preservation Priority","
Result(s)","
Results(s)","

Location","

Date(s)","

Campaign",Battles Associated with the Operations,"   

Sherman first found Johnston's army entrenched in the Marietta area on June 9.  The Confederate's had established defensive lines along Brushy, Pine, and Lost Mountains.  Sherman extended his forces beyond the Confederate lines, causing a partial Rebel withdrawal to another line of positions. After further pressure and skirmishing from Union forces, Johnston withdrew to an arc-shaped position centered on Kennesaw Mountain on June 18 and 19. Sherman made some unsuccessful attacks on this position but eventually extended the line on his right and forced Johnston to withdrawal from the Marietta area on July 2-3.


"
" Marmaduke�s Second Expedition into Missouri (1863)



"," AR007

"," May 1-2, 1863



"," Union Brig. Gen. William Vandever pursued Brig. Gen. John

S. Marmaduke to Chalk Bluff, where the Confederates hoped to cross the

St. Francis River. To ford the river, Marmaduke established a rearguard

that received heavy punishment on May 1-2. Although most of Marmadukes

raiders crossed the St. Francis River, they suffered heavy casualties and

therefore ended the expedition.



"," Unknown



"," 2nd Division, Army of the Frontier and force under command

of Brig. Gen. John McNeil [US]; Marmadukes Cavalry Division [CS]



"," Clay County



"," None



"," II.4 (Class D)

"," Brig. Gen. William Vandever [US]; Brig. Gen. John

S. Marmaduke [CS]



"," Confederate tactical victory (The results, however, forced

Marmaduke to end his expedition, making this a Union strategic victory.)



",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Operations to Control Indian Territory (1863)



"," AR009

"," September 1, 1863



"," Union Maj. Gen. James G. Blunt ordered Col. William Cloud

to continue in pursuit of the Confederate forces that had withdrawn from

Fort Smith and were chased to Old Jenny Lind. The Rebels turned on Cloud

and skirmished with him at the base of Devils Backbone. Cabells forces

ambushed approaching Union troops and momentarily halted their advance.

Regrouping, the Union forces, with the help of artillery, advanced again

and forced the Confederates to retire in disorder to Waldron.



"," 81 total (US 16; CS 65)



"," 2nd Kansas Cavalry, 6th Missouri Cavalry, and two sections

of Rabb�s 2nd Indiana Battery [US]; Cabells Brigade [CS]



"," Sebastian County



"," Backbone Mountain



"," II.3 (Class C)


"," Col. William F. Cloud [US]; Brig. Gen. W.L. Cabell

[CS]



"," Union victory



",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Camden Expedition (1864)



"," AR012

"," April 3-4, 1864



"," During the expedition, Union forces sought a ford to cross

the Little Missouri River because other roads were impassible. They reached

Elkins Ferry before the Confederates. As they crossed, the Confederates

attempted to stop them but to no avail.



"," 92 total (US 38; CS 54)



"," 3rd Division, VII Corps and 2 cavalry brigades [US];

3 cavalry brigades [CS]



"," Clark County and Nevada County



"," Okolona



"," II.3 (Class C)


"," Maj. Gen. Fred Steele [US]; Brig. Gen. John S.

Marmaduke [CS]



"," Union victory



",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Grant�s Operations against Vicksburg (1863)



"," AR008

"," July 4, 1863



"," Lt. Gen. Theophilus Holmess troops attacked Helena in

an attempt to relieve pressure on Vicksburg. Although the Rebels had more

troops and did initially capture some of the fortifications, the Union

forces repelled them. Thus, Helena continued as an important Union enclave

in the Trans-Mississippi theater and served as a base for the expedition

that captured Little Rock.



"," 1,842 total (US 206; CS 1,636)



"," District of Eastern Arkansas [US]; District of Arkansas

[CS]



"," Phillips County



"," None



"," IV.1 (Class B)

"," Maj. Gen. Benjamin Prentiss [US]; Lt. Gen. Theophilus

H. Holmes [CS]



"," Union victory



",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Operations near Cache River, Arkansas (1862)



"," AR003

"," July 7, 1862



"," Union Maj. Gen. Samuel R. Curtis moved on Helena, Arkansas,

in search of supplies to replace those that had been promised but never

delivered by the Navy. The Confederates under Maj. Gen. Thomas C. Hindman

attempted to prevent this change of supply base by continually skirmishing

with the Union troops. The Confederates made a stand at the Cache River

on July 7. As Union Col. C.L. Harris moved forward with elements of the

11th Wisconsin, 33rd Illinois, and the 1st Indiana Cavalry, moved forward,

he blundered into an ambuscade. The fighting became more general, and the

Confederates, with a frontal attack, forced the Union to retreat about

a quarter of a mile. The next Confederate attack, however, was stopped.

With reinforcements, the Federals pursued the retreating Confederates and

turned the retreat into a rout as the day progressed. Curtis was able change

his supply base, but Hindman, despite suffering defeat at Hill�s Plantation,

remained between Curtis and Little Rock, his objective.



"," 308 total (US 63; CS 245)



"," 1st and 2nd Brigade, 1st Division, Army of the Southwest

[US]; unknown [CS]



"," Woodruff County



"," Cache River, Cotton Plant, Round Hill



"," III.4 (Class D)
"," Col. Charles Hovey and Brig. Gen. William P. Benton

[US]; Maj. Gen. Thomas C. Hindman and Col. William Parsons [CS]



"," Union victory



",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Camden Expedition (1864)

"," AR016

",NA," Maj. Gen. Fred Steele�s forces retreated from Camden after

being mauled at Marks Mills and Poison Spring. On the afternoon of April

29, the Union forces reached Jenkins Ferry and began crossing the Saline

River, which was swollen by heavy rain. Rebel forces arrived on the 30th

and attacked repeatedly. The Federals repulsed the attacks and finally

crossed with all their men and supply wagons, many of which they were compelled

to abandon in the swamp north of Saline. The Confederates bungled a good

chance to destroy Steeles army, which after crossing the river, regrouped

at Little Rock.



"," 964 total (US 521; CS 443)



"," Department of Arkansas [US]; Army of Arkansas [CS]



"," Grant County



"," None



"," III.3 (Class C)



"," Maj. Gen. Fred Steele [US]; Gen. E. Kirby Smith

[CS]



"," Union victory in retreat



",NA,NA,NA,NA,NA,NA,NA," April 30, 1864



",NA,NA,NA
" Camden Expedition (1864)



"," AR015

"," April 25, 1864



"," A Union force escorted 240 wagons from Camden to Pine Bluff

to pick up supplies and transport them back to Maj. Gen. Fred Steele�s

army. At first the Union escort rebuffed Rebel attempts to halt them. Then

the Confederates moved in on the Union rear and front, causing a rout.

The Rebels captured most of the men and all of the supply wagons. Thus,

Steele gave up all thoughts of uniting with Maj. Gen. Nathaniel Banks on

the Red River and realized that he had to save his army.



"," 1,793 total (US 1,500; CS 293)



"," Infantry brigade [US]; two divisions [CS]



"," Cleveland County



"," None



"," II.4 (Class D)
"," Lt. Col. Francis Drake [US]; Brig. Gen. James

B. Fagan [CS]



"," Confederate victory



",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA," AR017

"," June 6, 1864



"," Maj. Gen. A.J. Smith ordered Brig. Gen. Joseph A. Mower

to demonstrate against Lake Village. Mower camped near Sunnyside Landing

on the evening of June 5 and took up his line of march again the next morning.

The skirmishing Confederates fell back to Red Leaf where Col. Colton Greene

and his men were encamped. As the Federals advanced, Greene�s men, assisted

by artillery, fought a delaying action at Ditch Bayou and then withdrew

to Parker's landing on Bayou Mason. The Union troops advanced to Lake Village,

camped there overnight, and the next day rejoined the flotilla on the Mississippi

River at Columbia. The Rebels delayed the Union advance but, eventually,

allowed them to continue to their objective: Lake Village.



"," 280 total (US 180; CS 100)



"," Two brigades of XVI Army Corps [US]; Marmaduke's Division [CS]

"," Chicot County

"," Ditch Bayou, Lake Chicot, Lake Village, Furlough, Fish

Bayou, Grand Lake



"," III.4 (Class D)

"," Brig. Gen. Joseph A. Mower [US]; Col. Colton Greene

[CS]



"," Union victory



",NA,NA,NA,NA,NA,NA,NA,NA," Expedition to Lake Village (1864)



",NA,NA
" Pea Ridge Campaign (1862)



"," AR001

"," March 6-8, 1862



"," On the night of March 6, Maj. Gen. Earl Van Dorn set out

to outflank the Union position near Pea Ridge, dividing his army into two

columns. Learning of Van Dorn�s approach, the Federals marched north to

meet his advance on March 7. This movementcompounded by the killing of

two generals, Brig. Gen. Ben McCulloch and Brig. Gen. James McQueen McIntosh,

and the capture of their ranking colonelhalted the Rebel attack. Van Dorn

led a second column to meet the Federals in the Elkhorn Tavern and Tanyard

area. By nightfall, the Confederates controlled Elkhorn Tavern and Telegraph

Road. The next day, Maj. Gen. Samuel R. Curtis, having regrouped and consolidated

his army, counterattacked near the tavern and, by successfully employing

his artillery, slowly forced the Rebels back. Running short of ammunition,

Van Dorn abandoned the battlefield. The Union controlled Missouri for the

next two years.



"," US 1,349; CS 2000-2500 


"," Army of the Southwest [US]; Army of the West [CS]



"," Benton County



"," Elkhorn Tavern



"," III.1 (Class A)



"," Maj. Gen. Samuel R. Curtis [US]; Maj. Gen. Earl

Van Dorn [CS]



"," Union victory



",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Advance on Little Rock (1863)



"," AR011

"," October 25, 1863



"," At 8:00 am, October 25, Col. Powell Clayton sent a company

of cavalry toward Princeton which ran into Brig. Gen. John S. Marmaduke�s

men advancing. After some fire, the Rebels, under a flag of truce, came

forward demanding surrender. Lt. M.F. Clark answered that there would be

no surrender. Clayton slowly retreated back into Pine Bluff. In the meantime,

about 300 African-American soldiers rolled cotton bales out of the warehouses

for barricades to protect court square. After failing to take the square

by force, the Rebels attempted to burn out the Union forces but to no avail.

The Confederate forces retired, leaving Pine Bluff to the Federals.



"," Total unknown (US 56; CS unknown)



"," Pine Bluff Garrison (two under-strength cavalry regiments

and a company of state militia) [US]; division [CS]



"," Jefferson County



"," None



"," IV.2 (Class D)

"," Col. Powell Clayton [US]; Brig. Gen. John S. Marmaduke

[CS]



"," Union victory



",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Camden Expedition (1864)



"," AR014

"," April 18, 1864



"," Dwindling supplies for his army at Camden forced Maj. Gen.

Fred Steele to send out a foraging party to gather corn that the Confederates

had stored about twenty miles up the Prairie DAne-Camden Road on White

Oak Creek. The party loaded the corn into wagons, and on April 18, Col.

James M. Williams started his return to Camden. Brig. Gen. John S. Marmadukes

and Brig. Gen. Samuel B. Maxeys Confederate forces arrived at Lee Plantation,

about fifteen miles from Camden, where they engaged Williams. The Rebels

eventually attacked Williams in the front and rear forcing him to retreat

north into a marsh where his men regrouped and then fell back to Camden.

The Union lost 198 wagons and all the corn.



"," 415 total (US 301; CS 114)



"," Brigade (1,100 men) [US]; Marmaduke�s and Maxeys Divisions

[CS]



"," Ouachita County



"," None



"," III.3 (Class C)






"," Col. James M. Williams [US]; Brig. Gen. John S.

Marmaduke and Brig. Gen. Samuel Bell Maxey [CS]



"," Confederate victory


",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Camden Expedition (1864)



"," AR013

"," April 9-13, 1864



"," On April 10, Maj. Gen. Fred Steele�s Union forces, combined

with Brig. Gen. John M. Thayers division, marched south from the Cornelius

Farm. They soon encountered a Confederate line of battle at Prairie DAne

and attacked, driving it back about a mile before being checked. Skirmishing

continued throughout the afternoon of April 11, forcing Steele to divert

line of march forces away from Shreveport toward Camden. Maj. Gen. Sterling

Prices Confederates returned to Prairie DAne on April 13, falling upon

Steeles rearguard under Thayer. After a four-hour battle, Price disengaged,

and Steeles column continued to Camden, occupying the city.



"," Unknown



"," Department of Arkansas [US]; District of Arkansas [CS]



"," Nevada County



"," Gum Grove, Moscow



"," II.2 (Class B)


"," Maj. Gen. Fred Steele [US]; Maj. Gen. Sterling

Price [CS]



"," Union victory



",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Prairie Grove Campaign (1862)



"," AR005

"," December 7, 1862



"," Maj. Gen. Thomas C. Hindman sought to destroy Brig. Gen.

Francis Herron�s and Brig. Gen. James Blunts divisions before they joined

forces. Hindman placed his large force between the two Union divisions,

turning on Herron first and routing his cavalry. As Hindman pursued the

cavalry, he met Herrons infantry which pushed him back. The Rebels then

established their line of battle on a wooded high ridge northeast of Prairie

Grove Church. Herron brought his artillery across the Illinois River and

initiated an artillery duel. The Union troops assaulted twice and were

repulsed. The Confederates counterattacked, were halted by Union canister,

and then moved forward again. Just when it looked as if the Rebel attack

would roll up Herrons troops, Blunts men assailed the Confederate left

flank. As night came, neither side had won, but Hindman retreated to Van

Buren. Hindmans retreat established Federal control of northwest Arkansas.



"," 2,568 total (US 1,251; CS 1,317)



"," Army of the Frontier [US]; I Corps, Trans-Mississippi

Army [CS]



"," Washington County



"," Fayetteville



"," I.3 (Class B)

"," Brig. Gen. Francis J. Herron and Brig. Gen. James

G. Blunt [US]; Maj. Gen. Thomas C. Hindman [CS]



"," Union strategic victory



",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Operations on White River (1862)



"," AR002

"," June 17, 1862



"," On the morning of June 17, USS Mound City, St. Louis, Lexington,

Conestoga, and transports proceeded up White River towards Saint Charles

attempting to resupply Maj. Gen. Samuel R. Curtis�s army near Jacksonport.

A few miles below Saint Charles, the 46th Indiana Infantry under the command

of Col. Graham N. Fitch disembarked, formed a skirmish line, and proceeded

upriver towards the Rebel batteries on Saint Charles bluffs, under the

command of Capt. Joseph Fry, C.S.N. At the same time, the Union gunboats

went upriver to engage the Rebel batteries; Mound City was hit and her

steam drum exploded scalding most of the crew to death. More than 125 sailors

from the Mound City were killed, but the other ship was towed to safety.

Col. Fitch halted the gunboat activities to prevent further loss and then

undertook an attack on the Confederate batteries with his infantry. He

turned the Rebel flank which ended the firing from the batteries and left

Saint Charles open to Federal occupation.



"," 290 total (US 135; CS 155)



"," 46th Indiana and Union Gunboat [US]; fifty men and C.S.

boats [CS]



"," Arkansas County



"," None



"," III.3 (Class C)
"," Col. Graham N. Fitch and Cdr. Augustus H. Kilty

[US]; Capt. Joseph Fry, C.S.N. [CS]



"," Union victory



",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Sand Creek Campaign (1864)


"," CO001

"," November 29-30, 1864

","  Scattered Indian raids had caused much ill-will between

the white settlers and the Native Americans. In the autumn, Territorial

(Colorado) officers had offered a vague amnesty if Indians reported to

army forts. Black Kettle with many Cheyennes and a few Arapahos, believing

themselves to be protected, established a winter camp about 40 miles from

Fort Lyon. On November 29, Col. John Chivington, who advocated Indian extermination,

arrived near the camp, having marched there from Fort Lyon. In spite of

the American flag and a white flag flying over the camp, the troops attacked,

killing and mutilating about 200 of the Indians, two-thirds of whom were

women and children.


"," Total unknown (US unknown; I 200)

"," Third Colorado Regiment (approx. 700 men) [US]; 500

Cheyennes and a few Arapahos [I]



"," Kiowa County

"," Chivington Massacre

"," II.2 (Class B)

"," Col. John Chivington [US]; Black Kettle, Cheyenne

[I]


"," Union victory (massacre)


",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Early�s Raid and Operations against the B&O Railroad (1864)


"," DC001

"," July 11-12, 1864

","   On July 11, Lt. Gen. Jubal A. Earlys exhausted Confederates

reached the outskirts of Washington near Silver Spring. Skirmishers advanced

to feel the fortifications which at the time were manned only by Home Guards,

clerks, and convalescent troops. During the night, veteran units from the

Union VI Corps disembarked from troop transports and marched north through

the streets of Washington to bolster the defenses. On July 12, Early was

finally in position to make a strong demonstration, which was repulsed

by the veteran Union troops. In the afternoon, VI Corps units sortied against

the Confederate skirmishers, driving them back from their advanced positions

in front of Forts Stevens and DeRussy. President Lincoln watched the action

from Fort Stevens and came under fire from Confederate sharpshooters. Recognizing

that the Union Capitol was now defended by veterans, Early abandoned any

thought of taking the city. Early withdrew during the night, marching toward

Whites Ford on the Potomac, ending his invasion of Maryland. We didnt

take Washington, Early told his staff officers, but we scared Abe Lincoln

like Hell.



"," 874 total
"," Divisions

"," District of Columbia

"," Washington


"," IV.2 (Class B)

"," Maj. Gen. Horatio G. Wright and Maj. Gen. Alexander

McD. McCook [US]; Lt. Gen. Jubal A. Early [CS]



","  Union victory

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Expedition to Hillsborough River (1863)



"," FL004

"," October 16-18, 1863

","  Two Union ships bombarded Fort Brooke on October 16 as

a diversion, while a landing party under Acting Master T.R. Harris disembarked

at Ballast Point and marched 14 miles to the Hillsborough River to capture

several steamers. Harris and his men surprised and captured the blockade

running steamer Scottish Chief and sloop Kate Dale. The Rebels destroyed

the steamer A.B. Noyes to preclude her capture. On its way back to the

ship, Harris�s force was surprised by a detachment of the garrison, causing

casualties.
"," Unknown

"," Tahoma, Adela, and landing force [US]; Company

A, 2nd Battalion, Florida Volunteers [CS]



"," Tampa

"," None


"," IV.2 (Class D)
"," Lt. Comdr. A.A. Semmes [US];

Capt. John Westcott [CS]


"," Union victory

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
